word,freq,year
TRUE,4,2002
TRUE,2,2004
TRUE,1,2006
TRUE,1,2007
TRUE,2,2010
TRUE,2,2012
TRUE,2,2013
TRUE,1,2014
TRUE,2,2015
TRUE,3,2016
FALSE,1,2002
FALSE,1,2004
FALSE,1,2006
FALSE,1,2008
FALSE,2,2010
zimbabwe,1,2006
zimbabwe,1,2008
zero,1,2002
zero,1,2006
zero,1,2014
zero,1,2015
zarqawi,1,2005
zarqawi,1,2006
zarqawi,1,2007
youve,1,2003
youve,2,2005
youve,1,2009
youve,1,2011
youve,2,2015
youve,1,2016
youth,1,2005
youth,3,2006
youre,1,2004
youre,2,2005
youre,1,2011
youre,12,2012
youre,2,2015
youre,2,2016
youngstown,1,2013
youngstown,1,2014
youngest,1,2004
youngest,1,2013
youngest,1,2014
younger,2,2001
younger,1,2002
younger,1,2003
younger,1,2004
younger,4,2005
younger,1,2015
young,3,2004
young,6,2005
young,2,2006
young,2,2008
young,2,2009
young,2,2010
young,3,2011
young,3,2012
young,6,2013
young,9,2014
young,8,2015
young,3,2016
youll,2,2005
youll,1,2009
youll,1,2011
youll,1,2012
youll,1,2015
youll,2,2016
youd,1,2009
youd,2,2011
youd,1,2014
york,2,2002
york,1,2003
york,3,2013
york,1,2014
york,2,2015
york,1,2016
yogi,1,2001
yield,1,2009
yet,7,2001
yet,8,2002
yet,8,2003
yet,7,2004
yet,2,2005
yet,10,2006
yet,10,2007
yet,8,2008
yet,4,2009
yet,1,2010
yet,4,2011
yet,2,2012
yet,1,2013
yet,3,2015
yesterdays,1,2011
yesterday,1,2009
yesterday,1,2010
yes,1,2004
yes,1,2009
yes,2,2010
yes,2,2011
yes,1,2012
yes,2,2013
yes,2,2014
yes,1,2015
yes,1,2016
yemen,2,2003
yemen,1,2012
yemen,1,2013
yemen,1,2014
yemen,1,2016
years,15,2001
years,2,2002
years,13,2003
years,10,2004
years,12,2005
years,11,2006
years,11,2007
years,11,2008
years,15,2009
years,20,2010
years,25,2011
years,18,2012
years,22,2013
years,21,2014
years,25,2015
years,18,2016
yearolds,1,2013
yearold,1,2005
yearold,1,2014
yearns,1,2010
yearn,1,2002
yearn,1,2011
yearly,1,2005
yearlong,1,2015
year,13,2001
year,2,2002
year,13,2003
year,7,2004
year,9,2005
year,11,2006
year,3,2007
year,24,2008
year,8,2009
year,26,2010
year,15,2011
year,19,2012
year,17,2013
year,16,2014
year,15,2015
year,17,2016
yardsticks,1,2011
yachts,1,2012
wrote,1,2005
wrote,1,2006
wrote,2,2010
wrote,1,2013
wrote,2,2014
wrote,2,2015
wrongful,1,2005
wrong,2,2001
wrong,1,2002
wrong,2,2004
wrong,1,2006
wrong,1,2010
wrong,1,2012
wrong,2,2013
wrong,2,2014
wrong,1,2015
wrong,1,2016
written,2,2006
written,1,2010
written,1,2011
writing,1,2001
writing,1,2006
write,1,2005
write,1,2011
write,1,2012
write,5,2015
write,1,2016
writ,1,2011
wright,1,2011
wright,1,2016
wreaking,1,2008
wrapped,1,2013
wounds,1,2007
wounds,1,2013
wounded,1,2008
wounded,1,2013
wounded,1,2014
wouldve,1,2014
wouldnt,3,2010
worthy,1,2001
worthy,1,2006
worthy,1,2007
worthy,1,2008
worthy,2,2009
worthy,1,2013
worthy,2,2015
worth,2,2006
worth,1,2008
worth,1,2011
worth,1,2012
worth,1,2013
worth,3,2014
worth,1,2015
worth,1,2016
worst,1,2002
worst,1,2004
worst,2,2010
worst,4,2011
worst,1,2013
worst,2,2016
worshiping,1,2013
worsened,1,2009
worsened,1,2015
worse,1,2005
worse,1,2006
worse,2,2007
worse,4,2009
worse,4,2010
worse,1,2012
worse,1,2013
worse,1,2016
worry,1,2001
worry,2,2006
worry,1,2008
worry,1,2009
worry,1,2016
worried,1,2008
worried,1,2012
worlds,1,2001
worlds,2,2002
worlds,1,2003
worlds,1,2004
worlds,1,2005
worlds,1,2008
worlds,1,2009
worlds,1,2010
worlds,3,2011
worlds,5,2012
worlds,2,2013
worlds,1,2014
worlds,4,2015
worlds,1,2016
worldclass,1,2010
worldclass,1,2013
worldclass,1,2014
world,1,2001
world,17,2002
world,25,2003
world,12,2004
world,14,2005
world,27,2006
world,10,2007
world,13,2008
world,10,2009
world,5,2010
world,15,2011
world,15,2012
world,6,2013
world,13,2014
world,18,2015
world,24,2016
workstudy,1,2012
works,1,2001
works,2,2002
works,1,2003
works,1,2004
works,1,2005
works,1,2010
works,4,2013
works,1,2014
works,2,2015
works,2,2016
workplace,1,2013
workplace,1,2014
workingclass,1,2011
working,2,2001
working,4,2002
working,5,2003
working,4,2004
working,4,2005
working,4,2006
working,1,2007
working,5,2008
working,3,2009
working,9,2010
working,2,2011
working,6,2012
working,6,2013
working,12,2014
working,7,2015
working,4,2016
workforce,1,2010
workforce,1,2012
workforce,6,2014
workforce,4,2015
workers,3,2001
workers,5,2002
workers,2,2003
workers,7,2004
workers,14,2005
workers,2,2006
workers,2,2007
workers,4,2008
workers,4,2009
workers,5,2010
workers,7,2011
workers,12,2012
workers,1,2013
workers,6,2014
workers,11,2015
workers,9,2016
worker,2,2004
worker,1,2005
worker,2,2006
worker,1,2007
worker,2,2010
worker,1,2013
worker,4,2014
worker,2,2015
worker,1,2016
worked,2,2002
worked,1,2003
worked,1,2004
worked,1,2007
worked,1,2009
worked,3,2011
worked,4,2012
worked,4,2013
worked,3,2014
worked,5,2015
worked,2,2016
work,12,2001
work,7,2002
work,10,2003
work,12,2004
work,6,2005
work,7,2006
work,13,2007
work,8,2008
work,9,2009
work,20,2010
work,20,2011
work,16,2012
work,17,2013
work,27,2014
work,20,2015
work,20,2016
wordsget,1,2001
words,1,2002
words,2,2003
words,1,2004
words,1,2006
words,2,2007
words,2,2008
words,4,2009
words,1,2011
words,1,2013
words,2,2014
words,4,2016
word,1,2002
word,1,2004
word,1,2006
word,1,2010
word,2,2013
word,1,2014
word,2,2016
wood,1,2006
wood,1,2007
wont,1,2007
wont,3,2009
wont,1,2010
wont,3,2011
wont,1,2012
wont,3,2013
wont,4,2014
wont,3,2015
wont,4,2016
wondering,1,2005
wondering,1,2010
wonderful,1,2001
wonderful,1,2007
wonder,1,2003
wonder,2,2010
wonder,1,2013
won,1,2005
won,1,2007
won,2,2015
womens,1,2002
womens,1,2015
women,3,2001
women,5,2002
women,4,2003
women,8,2004
women,11,2005
women,7,2006
women,4,2007
women,5,2008
women,3,2009
women,6,2010
women,4,2011
women,5,2012
women,7,2013
women,6,2014
women,2,2015
womans,1,2015
woman,1,2003
woman,3,2004
woman,1,2005
woman,1,2006
woman,2,2010
woman,2,2011
woman,1,2012
woman,1,2013
woman,4,2014
woman,4,2015
woman,1,2016
wives,1,2013
witnessing,1,2005
witnesses,1,2003
witnessed,2,2008
witnessed,1,2010
witness,1,2004
witness,1,2008
withstand,1,2013
without,1,2001
without,2,2002
without,4,2003
without,5,2004
without,2,2005
without,3,2006
without,6,2007
without,2,2008
without,4,2009
without,4,2010
without,8,2011
without,4,2012
without,2,2013
without,8,2014
without,3,2015
without,6,2016
within,1,2003
within,1,2005
within,2,2006
within,4,2007
within,1,2008
within,2,2010
within,6,2011
within,2,2012
within,2,2014
within,1,2016
withfarmers,1,2014
withers,1,2016
withdrawal,1,2006
wishes,1,2007
wished,1,2014
wish,1,2002
wish,1,2005
wish,1,2007
wisely,1,2005
wisely,1,2007
wisely,1,2008
wisely,1,2009
wisely,2,2015
wise,1,2004
wise,1,2005
wise,1,2006
wise,1,2008
wise,1,2013
wise,1,2016
wisdom,1,2006
wisdom,1,2007
wisdom,2,2008
wisdom,1,2015
wisconsin,1,2013
wireless,1,2011
wiped,1,2011
wins,1,2011
winning,1,2002
winning,1,2003
winning,1,2006
winning,3,2011
winning,1,2016
winner,2,2011
windows,1,2011
window,1,2001
window,1,2010
wind,1,2006
wind,1,2007
wind,2,2009
wind,1,2011
wind,3,2012
wind,2,2013
wind,1,2015
wind,1,2016
win,3,2002
win,1,2004
win,2,2006
win,1,2007
win,1,2009
win,2,2010
win,8,2011
win,2,2012
win,1,2015
willingness,1,2007
willingness,1,2009
willingness,1,2013
willingness,2,2016
willing,4,2004
willing,1,2005
willing,1,2006
willing,1,2007
willing,1,2009
willing,1,2010
willing,7,2011
willing,1,2012
willing,2,2013
willing,2,2014
willing,1,2016
wildlife,1,2003
wildfires,2,2013
wife,1,2006
wife,1,2013
wife,1,2015
widespread,1,2001
wider,1,2006
widen,1,2016
widely,1,2014
wide,1,2006
wicked,1,2007
whove,2,2010
whove,1,2011
whove,3,2012
whove,2,2013
whove,1,2016
whose,1,2002
whose,1,2005
whose,1,2008
whose,1,2009
whose,1,2010
whose,2,2013
whose,1,2014
whose,1,2016
whos,1,2010
whos,1,2011
whos,1,2012
whos,1,2013
whos,1,2014
whos,2,2015
whole,1,2001
whole,2,2003
whole,1,2004
whole,3,2005
whole,1,2007
whole,1,2008
whole,1,2010
whole,1,2012
whole,1,2013
whole,1,2016
whoever,1,2015
white,2,2001
white,1,2005
white,1,2006
white,1,2008
white,1,2010
white,2,2011
white,1,2012
white,4,2014
white,2,2015
white,1,2016
whirlwind,1,2003
whims,1,2011
whim,1,2004
whim,1,2008
whether,2,2001
whether,1,2007
whether,1,2009
whether,1,2010
whether,6,2011
whether,1,2012
whether,1,2013
whether,2,2014
whether,2,2015
whether,2,2016
wherever,1,2002
wherever,2,2008
wherever,3,2011
wherever,1,2014
whenever,1,2003
whenever,1,2014
wheel,1,2014
whats,1,2009
whats,3,2010
whats,5,2011
whats,4,2012
whats,1,2013
whats,3,2016
whatever,1,2002
whatever,3,2003
whatever,2,2007
whatever,3,2009
whatever,1,2011
whatever,1,2013
whatever,2,2016
western,1,2003
western,1,2014
west,1,2001
west,1,2005
west,1,2007
west,1,2011
west,4,2015
west,1,2016
wesley,3,2007
werent,2,2012
went,1,2005
went,1,2007
went,2,2009
went,1,2010
went,2,2011
went,1,2012
went,1,2015
welltrained,1,2002
wellqualified,1,2010
welloff,1,2013
wellness,1,2004
wellconnected,1,2013
wellbeing,1,2009
well,2,2001
well,5,2002
well,1,2003
well,1,2004
well,7,2005
well,4,2006
well,2,2007
well,1,2008
well,8,2009
well,5,2010
well,14,2011
well,7,2012
well,9,2013
well,11,2014
well,7,2015
well,6,2016
welfare,1,2002
welfare,2,2006
welfare,1,2008
welcoming,1,2001
welcoming,1,2003
welcomes,1,2007
welcomed,1,2002
welcomed,1,2012
welcomed,1,2013
welcome,5,2001
welcome,2,2002
welcome,1,2004
welcome,1,2005
welcome,2,2006
welcome,1,2007
welcome,1,2008
welcome,1,2015
welcome,1,2016
weight,1,2009
weight,1,2010
weight,1,2011
weight,1,2016
weighed,1,2007
weighed,1,2009
weeks,1,2004
weeks,1,2005
weeks,2,2007
weeks,1,2011
weeks,2,2012
weeks,1,2013
weeks,1,2014
weeks,2,2015
week,1,2004
week,1,2007
week,2,2008
week,1,2009
week,6,2010
week,2,2013
week,4,2014
wedge,1,2015
wedding,1,2008
website,1,2009
website,1,2010
website,1,2011
website,1,2012
weathered,1,2010
weather,1,2008
weather,1,2009
wear,2,2006
wear,1,2007
wear,1,2013
weaponsofmassdestructionrelated,1,2004
weapons,1,2001
weapons,12,2002
weapons,27,2003
weapons,7,2004
weapons,3,2005
weapons,3,2006
weapons,3,2007
weapons,1,2009
weapons,3,2010
weapons,3,2011
weapons,2,2013
weapons,1,2014
weapons,1,2016
weapon,1,2003
weapon,1,2006
weapon,1,2008
weapon,1,2012
weapon,1,2013
weapon,2,2014
wean,1,2014
wealthy,1,2005
wealthy,1,2009
wealthy,1,2014
wealthiest,1,2009
wealthiest,1,2011
wealthiest,2,2012
wealthiest,4,2013
wealthiest,1,2016
wealthier,1,2010
wealth,1,2001
wealth,1,2003
wealth,1,2007
wealth,1,2009
wealth,1,2015
wealth,1,2016
weakest,1,2003
weaker,1,2009
weaker,1,2016
weakens,1,2016
weakening,2,2004
weakened,1,2008
weakened,2,2009
weakened,1,2012
weakened,2,2014
weaken,1,2015
weaken,1,2016
weak,1,2002
weak,1,2003
weak,2,2005
weak,1,2009
weak,1,2016
we've,5,2002
we've,3,2003
we've,3,2004
we've,4,2005
we've,1,2008
we've,5,2009
we've,5,2010
we've,13,2011
we've,18,2012
we've,4,2013
we've,5,2014
we've,13,2015
we've,14,2016
ways,4,2002
ways,2,2003
ways,1,2005
ways,4,2007
ways,1,2008
ways,3,2009
ways,1,2010
ways,1,2011
ways,1,2012
ways,1,2014
ways,1,2015
ways,4,2016
way,4,2001
way,2,2002
way,5,2003
way,7,2004
way,6,2005
way,6,2006
way,9,2007
way,9,2008
way,7,2009
way,3,2010
way,7,2011
way,7,2012
way,10,2013
way,6,2014
way,4,2015
way,10,2016
waving,1,2013
waves,1,2013
waves,1,2015
waver,1,2011
wave,1,2011
wave,1,2012
wave,1,2014
wave,1,2016
waterways,1,2014
waters,1,2011
waters,1,2013
waters,1,2015
watering,1,2007
water,1,2001
water,1,2002
water,1,2003
water,3,2011
water,1,2012
water,1,2013
water,1,2014
watching,1,2007
watching,3,2009
watching,1,2011
watching,2,2012
watching,1,2016
watched,2,2007
watched,1,2008
watched,1,2015
watchdog,1,2012
watchdog,1,2015
watch,2,2002
watch,1,2003
watch,1,2004
watch,1,2005
watch,1,2009
watch,1,2010
wastes,1,2007
wastes,1,2012
wasteful,2,2004
wasteful,1,2008
wasteful,2,2009
wasteful,1,2014
wasted,1,2009
wasted,1,2013
waste,2,2009
waste,1,2011
waste,2,2012
waste,1,2013
wasnt,2,2011
wasnt,1,2015
wasnt,2,2016
washington,3,2001
washington,1,2003
washington,3,2006
washington,2,2007
washington,3,2008
washington,1,2009
washington,8,2010
washington,1,2011
washington,4,2012
washington,2,2013
washington,3,2014
washington,1,2015
washington,2,2016
washed,1,2012
wash,1,2014
wartime,1,2013
wars,1,2009
wars,3,2010
wars,1,2015
wars,1,2016
warriors,1,2008
warriors,1,2013
warriors,1,2014
warren,1,2012
warning,1,2001
warning,1,2002
warning,1,2003
warning,1,2007
warned,1,2008
warned,1,2010
warmest,2,2015
warmest,1,2016
warfare,1,2003
warfare,1,2012
warera,1,2009
warehouse,1,2013
war,1,2001
war,12,2002
war,11,2003
war,12,2004
war,5,2005
war,2,2006
war,10,2007
war,3,2008
war,4,2009
war,4,2010
war,4,2011
war,6,2012
war,3,2013
war,7,2014
war,4,2015
war,7,2016
wants,1,2009
wants,2,2011
wants,1,2012
wants,2,2014
wants,1,2015
wants,3,2016
wanted,1,2003
wanted,1,2005
wanted,1,2014
want,10,2001
want,5,2002
want,4,2004
want,2,2005
want,3,2006
want,5,2007
want,1,2008
want,3,2009
want,5,2010
want,15,2011
want,12,2012
want,9,2013
want,8,2014
want,21,2015
want,14,2016
waned,1,2012
walt,1,2007
walsh,1,2007
walls,1,2009
walling,1,2006
wall,1,2003
wall,1,2004
wall,1,2005
wall,2,2009
wall,4,2010
wall,1,2011
wall,3,2012
wall,1,2014
wall,1,2015
wall,1,2016
walks,1,2011
walks,1,2015
walking,2,2016
walked,1,2010
walked,1,2014
walk,1,2001
walk,2,2009
walk,2,2010
walk,4,2012
walk,3,2014
walk,1,2015
waking,1,2005
wake,2,2009
wake,2,2010
wake,1,2011
waitress,2,2001
waiting,1,2006
waiting,1,2007
waiting,1,2009
waiting,3,2010
waiting,2,2013
waiting,1,2015
waited,1,2003
waited,1,2015
wait,1,2002
wait,1,2005
wait,1,2006
wait,3,2009
wait,3,2010
wait,1,2012
wait,3,2013
wait,3,2014
wait,1,2016
wagethese,1,2015
wages,1,2001
wages,1,2005
wages,1,2007
wages,1,2008
wages,1,2009
wages,1,2010
wages,2,2012
wages,2,2013
wages,4,2014
wages,4,2015
wages,2,2016
wagered,1,2008
waged,1,2002
wage,1,2010
wage,7,2013
wage,4,2014
wage,1,2015
wage,2,2016
w,1,2001
w,1,2004
vx,1,2003
vulnerable,1,2003
vulnerable,1,2005
vulnerable,1,2007
vulnerable,1,2010
vulnerable,2,2011
vulnerable,1,2015
vulnerable,2,2016
voting,1,2005
voting,1,2013
voting,1,2014
voting,2,2015
voting,2,2016
votes,1,2004
votes,1,2005
votes,1,2008
votes,1,2010
votes,1,2011
votes,1,2014
voters,1,2016
voted,1,2005
voted,2,2006
voted,1,2007
voted,1,2008
voted,1,2013
vote,4,2005
vote,2,2006
vote,5,2007
vote,3,2008
vote,2,2010
vote,2,2011
vote,1,2012
vote,11,2013
vote,3,2014
vote,3,2015
vote,5,2016
volunteers,1,2001
volunteers,3,2002
volunteers,1,2003
volunteers,1,2005
volunteers,1,2016
volunteered,1,2007
volunteered,1,2008
volunteered,1,2011
volunteer,1,2006
volunteer,1,2007
volunteer,1,2009
voluntary,1,2005
voluntarily,1,2004
voluntarily,1,2008
voices,1,2007
voices,8,2016
voice,2,2004
voice,1,2011
voice,1,2014
voice,1,2015
voice,2,2016
vocational,1,2009
vitalbecause,1,2001
vital,1,2001
vital,2,2003
vital,3,2004
vital,2,2005
vital,3,2006
vital,2,2007
vital,5,2008
vital,1,2014
vital,1,2016
visitors,1,2002
visitors,1,2010
visiting,1,2003
visiting,1,2014
visited,1,2001
visited,1,2009
visit,1,2010
visit,1,2013
visit,1,2015
vision,2,2001
vision,1,2006
vision,1,2007
vision,1,2009
vision,1,2010
vision,3,2015
vision,1,2016
visible,1,2002
viruses,1,2003
virus,1,2003
virtue,1,2014
virtually,1,2013
virginia,1,2015
violently,1,2005
violent,2,2004
violent,2,2006
violent,2,2007
violent,1,2008
violent,1,2013
violent,1,2015
violence,1,2001
violence,1,2002
violence,1,2003
violence,1,2004
violence,2,2005
